pt,session_id,start,end,TagId,TagLat,TagLng
240,O8,2021-06-01 12:12:00,2021-06-01 12:18:00,_2D784C33,38.30225713,-104.3562247
241,O8,2021-06-01 12:12:00,2021-06-01 12:18:00,_341E6155,38.30225713,-104.3562247
242,O8,2021-06-01 12:12:00,2021-06-01 12:18:00,_524B2A07,38.30225713,-104.3562247
243,O8,2021-06-01 12:12:00,2021-06-01 12:18:00,_66196107,38.30225713,-104.3562247
244,O8,2021-06-01 12:12:00,2021-06-01 12:18:00,_66343419,38.30225713,-104.3562247
245,O8,2021-06-01 12:12:00,2021-06-01 12:18:00,07073334,38.30225713,-104.3562247
246,O9,2021-06-01 12:18:00,2021-06-01 12:23:00,_2A074C2A,38.30207151,-104.3560944
247,O9,2021-06-01 12:18:00,2021-06-01 12:23:00,_2D784C33,38.30207151,-104.3560944
248,O9,2021-06-01 12:18:00,2021-06-01 12:23:00,_341E6155,38.30207151,-104.3560944
249,O9,2021-06-01 12:18:00,2021-06-01 12:23:00,_524B2A07,38.30207151,-104.3560944
250,O9,2021-06-01 12:18:00,2021-06-01 12:23:00,_66196107,38.30207151,-104.3560944
251,O9,2021-06-01 12:18:00,2021-06-01 12:23:00,_66343419,38.30207151,-104.3560944
252,O9,2021-06-01 12:18:00,2021-06-01 12:23:00,07073334,38.30207151,-104.3560944
253,O10,2021-06-01 12:23:00,2021-06-01 12:29:00,_2A074C2A,38.30189433,-104.3561378
254,O10,2021-06-01 12:23:00,2021-06-01 12:29:00,_2D784C33,38.30189433,-104.3561378
255,O10,2021-06-01 12:23:00,2021-06-01 12:29:00,_341E6155,38.30189433,-104.3561378
256,O10,2021-06-01 12:23:00,2021-06-01 12:29:00,_524B2A07,38.30189433,-104.3561378
257,O10,2021-06-01 12:23:00,2021-06-01 12:29:00,_66196107,38.30189433,-104.3561378
258,O10,2021-06-01 12:23:00,2021-06-01 12:29:00,_66343419,38.30189433,-104.3561378
259,O10,2021-06-01 12:23:00,2021-06-01 12:29:00,07073334,38.30189433,-104.3561378
