"","Test.Group","long.est","lat.est","est.error","session_id"
"134","52557833 Y8",-104.357868805451,38.3035360719401,279.215233133928,"Y8"
"135","52557833 Y9",-104.357847525281,38.3019082593774,35.4202500038026,"Y9"
"136","66196107 O1",-104.356673812019,38.3003806452821,116.666298619412,"O1"
"137","66196107 O10",-104.356897673519,38.3018780148393,91.2245003761503,"O10"
"138","66196107 O2",-104.357331539056,38.3004509271374,204.127976315126,"O2"
"139","66196107 O3",-104.357168241901,38.3005592540124,121.388802279423,"O3"
"140","66196107 O4",-104.357099071907,38.3010352079032,143.700911833747,"O4"
"141","66196107 O5",-104.357248168433,38.3012918780313,124.967184964356,"O5"
"142","66196107 O6",-104.355877059509,38.302203368192,187.296550140226,"O6"
"143","66196107 O8",-104.357514217712,38.3017105969252,76.4820290857993,"O8"
"144","66196107 O9",-104.357519022882,38.3012922164181,109.943067791185,"O9"
"145","66343419 O1",-104.356740327232,38.3003003119191,110.788467669773,"O1"
"146","66343419 O10",-104.357416329178,38.3019648532659,144.675078093308,"O10"
"147","66343419 O2",-104.357781734388,38.3012713472566,357.653762410104,"O2"
"148","66343419 O3",-104.356944376935,38.3003642380903,210.439588102391,"O3"
"149","66343419 O4",-104.356935490597,38.300043870257,173.262251155156,"O4"
"150","66343419 O5",-104.357224546815,38.3012402038265,114.102683497358,"O5"
"151","66343419 O6",-104.357971934308,38.302605518025,204.198270781222,"O6"
"152","66343419 O7",-104.357047625461,38.3021285818528,31.5792041146806,"O7"
"153","66343419 O8",-104.357527212867,38.3022827373279,7.83811944089295,"O8"
"154","664C4C55 W1",-104.357411842987,38.2997834201447,252.084855024293,"W1"
"155","664C4C55 W2",-104.357323961293,38.3003091456328,144.095477136755,"W2"
"156","664C4C55 W3",-104.357407178746,38.3000972479071,92.1505140921025,"W3"
"157","664C4C55 W4",-104.357391525715,38.3000340654426,43.9265207707167,"W4"
"158","664C4C55 W5",-104.357266899423,38.2997541440731,64.5305434283314,"W5"
"159","781E1E78 B1",-104.356580383078,38.3005401690938,129.488016251267,"B1"
"160","781E1E78 B2",-104.356724999728,38.3004839928183,132.531845287042,"B2"
"161","781E1E78 B3",-104.356803083581,38.3012518617958,180.082438380354,"B3"
"162","781E1E78 B4",-104.356141878448,38.2996092107147,199.544824956449,"B4"
"163","781E1E78 B5",-104.355793069243,38.2996499387138,175.691625179131,"B5"
